x,vx,y,vy,z,vz
1232.3201,-8.6888,-12.9415,-23.9897,1654.1703,150.0026
1232.0277,-8.8487,-13.7537,-24.7451,1659.1619,149.4971
1231.7305,-8.9816,-14.5910,-25.4891,1664.1368,148.9938
1231.4292,-9.0886,-15.4529,-26.2207,1669.0949,148.4928
1231.1249,-9.1707,-16.3389,-26.9392,1674.0363,147.9946
1230.8181,-9.2289,-17.2486,-27.6438,1678.9612,147.4993
1230.5099,-9.2645,-18.1817,-28.3339,1683.8696,147.0072
1230.2007,-9.2790,-19.1374,-29.0089,1688.7617,146.5185
1229.8915,-9.2732,-20.1154,-29.6681,1693.6376,146.0334
1229.5827,-9.2485,-21.1151,-30.3112,1698.4973,145.5522
1229.2751,-9.2059,-22.1360,-30.9377,1703.3411,145.0749
1228.9692,-9.1466,-23.1774,-31.5472,1708.1690,144.6018
1228.6655,-9.0718,-24.2389,-32.1394,1712.9813,144.1330
1228.3646,-8.9826,-25.3199,-32.7139,1717.7779,143.6686
1228.0668,-8.8802,-26.4196,-33.2706,1722.5592,143.2089
1227.7727,-8.7655,-27.5377,-33.8091,1727.3252,142.7540
1227.4826,-8.6399,-28.6734,-34.3294,1732.0762,142.3038
1227.1968,-8.5044,-29.8261,-34.8312,1736.8122,141.8587
1226.9157,-8.3600,-30.9952,-35.3146,1741.5335,141.4186
1226.6396,-8.2077,-32.1802,-35.7792,1746.2402,140.9838
1226.3686,-8.0485,-33.3803,-36.2251,1750.9325,140.5544
1226.1031,-7.8833,-34.5950,-36.6524,1755.6106,140.1305
1225.8431,-7.7133,-35.8236,-37.0610,1760.2746,139.7121
1225.5889,-7.5395,-37.0655,-37.4510,1764.9247,139.2994
1225.3405,-7.3631,-38.3202,-37.8224,1769.5613,138.8923
1225.0980,-7.1847,-39.5868,-38.1754,1774.1843,138.4912
1224.8615,-7.0054,-40.8650,-38.5097,1778.7941,138.0960
1224.6310,-6.8261,-42.1539,-38.8257,1783.3908,137.7068
1224.4065,-6.6478,-43.4531,-39.1234,1787.9746,137.3236
1224.1878,-6.4717,-44.7620,-39.4029,1792.5457,136.9466
1223.9750,-6.2988,-46.0798,-39.6645,1797.1044,136.5757
1223.7679,-6.1296,-47.4061,-39.9082,1801.6509,136.2110
1223.5663,-5.9653,-48.7402,-40.1343,1806.1852,135.8524
1223.3701,-5.8068,-50.0815,-40.3429,1810.7078,135.5002
1223.1791,-5.6554,-51.4295,-40.5341,1815.2186,135.1542
1222.9930,-5.5123,-52.7836,-40.7077,1819.7181,134.8145
1222.8115,-5.3785,-54.1432,-40.8639,1824.2063,134.4813
1222.6343,-5.2549,-55.5077,-41.0031,1828.6836,134.1544
1222.4611,-5.1419,-56.8765,-41.1258,1833.1500,133.8338
1222.2914,-5.0401,-58.2492,-41.2329,1837.6059,133.5191
1222.1250,-4.9496,-59.6252,-41.3255,1842.0514,133.2102
1221.9613,-4.8705,-61.0041,-41.4046,1846.4867,132.9066
1221.8002,-4.8025,-62.3854,-41.4713,1850.9119,132.6081
1221.6411,-4.7448,-63.7687,-41.5267,1855.3273,132.3144
1221.4837,-4.6972,-65.1537,-41.5719,1859.7329,132.0252
1221.3278,-4.6591,-66.5400,-41.6080,1864.1290,131.7403
1221.1730,-4.6301,-67.9275,-41.6363,1868.5156,131.4592
1221.0190,-4.6097,-69.3157,-41.6578,1872.8930,131.1818
1220.8656,-4.5969,-70.7046,-41.6737,1877.2611,130.9078
