x,vx,y,vy,z,vz
790.5845,97.9344,240.0741,58.9717,679.2648,86.1156
793.8507,98.0413,242.0410,59.0368,682.1310,85.8593
797.1206,98.1486,244.0099,59.1022,684.9888,85.6052
800.3940,98.2564,245.9811,59.1678,687.8381,85.3535
803.6710,98.3647,247.9545,59.2338,690.6790,85.1039
806.9516,98.4734,249.9300,59.3001,693.5117,84.8566
810.2359,98.5825,251.9078,59.3666,696.3362,84.6113
813.5238,98.6920,253.8878,59.4334,699.1525,84.3681
816.8154,98.8020,255.8700,59.5006,701.9607,84.1267
820.1106,98.9124,257.8545,59.5680,704.7609,83.8871
823.4095,99.0234,259.8412,59.6359,707.5532,83.6491
826.7122,99.1350,261.8302,59.7041,710.3376,83.4125
830.0185,99.2471,263.8215,59.7727,713.1141,83.1772
833.3287,99.3679,265.8151,59.8466,715.8828,82.9495
836.6432,99.5041,267.8114,59.9299,718.6442,82.7346
839.9625,99.6532,269.8106,60.0210,721.3986,82.5302
843.2870,99.8127,271.8129,60.1185,724.1463,82.3343
846.6171,99.9814,273.8187,60.2216,726.8878,82.1456
849.9528,100.1583,275.8279,60.3298,729.6230,81.9632
853.2945,100.3427,277.8408,60.4424,732.3522,81.7861
856.6423,100.5333,279.8574,60.5591,735.0754,81.6135
859.9965,100.7293,281.8780,60.6790,737.7929,81.4445
863.3573,100.9296,283.9025,60.8015,740.5048,81.2780
866.7249,101.1328,285.9312,60.9259,743.2113,81.1132
870.0995,101.3389,287.9642,61.0521,745.9123,80.9496
873.4809,101.5477,290.0014,61.1800,748.6080,80.7874
876.8694,101.7590,292.0429,61.3094,751.2982,80.6260
880.2649,101.9726,294.0887,61.4403,753.9830,80.4654
883.6675,102.1880,296.1389,61.5724,756.6625,80.3052
887.0774,102.4050,298.1935,61.7055,759.3367,80.1452
890.4945,102.6234,300.2526,61.8394,762.0055,79.9852
893.9190,102.8430,302.3162,61.9742,764.6690,79.8251
897.3508,103.0638,304.3843,62.1096,767.3272,79.6648
900.7899,103.2855,306.4568,62.2457,769.9800,79.5043
904.2365,103.5081,308.5340,62.3825,772.6275,79.3434
907.6905,103.7316,310.6157,62.5197,775.2696,79.1822
911.1519,103.9557,312.7019,62.6574,777.9063,79.0206
914.6208,104.1804,314.7928,62.7954,780.5376,78.8584
918.0973,104.4057,316.8883,62.9339,783.1635,78.6958
921.5812,104.6315,318.9884,63.0727,785.7840,78.5328
925.0727,104.8578,321.0932,63.2118,788.3990,78.3692
928.5718,105.0845,323.2025,63.3512,791.0086,78.2051
932.0784,105.3116,325.3166,63.4908,793.6127,78.0405
935.5925,105.5391,327.4353,63.6307,796.2113,77.8754
939.1143,105.7669,329.5586,63.7708,798.8044,77.7097
942.6437,105.9950,331.6867,63.9112,801.3919,77.5435
946.1806,106.2234,333.8194,64.0517,803.9739,77.3769
949.7252,106.4520,335.9568,64.1924,806.5504,77.2097
953.2774,106.6809,338.0989,64.3333,809.1212,77.0420
956.8373,106.9101,340.2457,64.4744,811.6865,76.8738
960.4048,107.1395,342.3972,64.6157,814.2462,76.7050
963.9799,107.3691,344.5534,64.7571,816.8002,76.5358
967.5627,107.5989,346.7143,64.8987,819.3485,76.3660
971.1532,107.8289,348.8800,65.0404,821.8912,76.1958
974.7513,108.0591,351.0503,65.1823,824.4282,76.0250
978.3571,108.2895,353.2254,65.3243,826.9596,75.8537
981.9706,108.5202,355.4053,65.4665,829.4852,75.6818
985.5918,108.7509,357.5899,65.6089,832.0050,75.5095
989.2207,108.9819,359.7792,65.7514,834.5191,75.3366
992.8573,109.2131,361.9733,65.8940,837.0274,75.1632
996.5016,109.4444,364.1722,66.0368,839.5300,74.9892
1000.1536,109.6760,366.3758,66.1798,842.0267,74.8148
1003.8133,109.9077,368.5841,66.3229,844.5176,74.6397
1007.4807,110.1396,370.7973,66.4661,847.0027,74.4642
1011.1559,110.3716,373.0152,66.6096,849.4819,74.2881
1014.8389,110.6039,375.2379,66.7531,851.9552,74.1114
1018.5295,110.8363,377.4654,66.8968,854.4227,73.9342
